,0
0,  resist using
1,ahh booyah 
2,
3,paid cents upgrade caption app get white lettering totally worth
4, awesome
5,
6,love band name perfectly chosen
7,
8,girly cursive really makes 
9,ha heavy booyah referencing today awesome
10, talked mom said get stuff grill dinner ton eggs neighbors guys wanted bring stuff lunch  cold cuts bread etc stuff go eggs breakfast  bagels whatnot would cool also snacks water bottle two hiking could good
11,going bring probably start thawing fridge doable thawed
12, probably better start thawing tonight faucet defrost less optimal
13, asked mom would possible said definitely
14,
15,
16,google says ok
17,oh jesus 
18,sorry oh argh uh sorry
19,
20,felt  germane convo
21,exactly get turkey
22,ok
23,
24,
25,trail guide hiking killington could good http www killington com site mountain trail map hiking trailmap hike web pdf
26,also healdville trail goes okemo
27,http www vtstateparks com pdfs okemo sf trails pdf
28,ones near okemo
29, noticed last link hike last time listed aggressive
30,one goes sweet cliffs h round trip
31,half hour drive ludlow
32,  full disclosure involve vertical ft figure though gets strenuous  rush could take time snacks rests stuff
33, gonna clown trail
34,planning heading early afternoon around storrs
35,thought another thing vt guys could bring sleeping bags pillows would help minimize number sheets wash end weekend
36,sure much two dinners mom already made meatballs sausage peppers picked steak tips ly batch chili said
37,still got mine bring
38,tons stuff
39,worries pretty stocked could always bring beer found taps shut dad away still good amount beer though
40, apparently problems one controllers time get straightened
41,sounds good
42,town farm rd ludlow vt
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,things would wu simulator game summary
53,
54,
55,picture friend mine burning man pose made think human evolution picture love clutching doritos
56, watched episode yesterday watched wait new episode tonight
57,also nice use klunge earlier  totally forgot word
58,
59,
60,much fun caption app
61,article http markmanson net giving fuck
62,ha
63,
64,wu good idea caption turned relevant convo
65, lab class semester noob city
66,machine shop thank god sensors lab ton horseshit
67,
68,
69,
70,
71,calling series schopenmeower
72,
73,
74,
75,
76,one based simone de beauvoir comic guys posted
77,think good pun name yet
78,think gonna go simmeown de beaupaws second set
79,also got kick motherfucker line super dark humor  agree overall sentiment wu really blessed
80,
81,realized comic multiple pages check rest seems pretty heavy tho reminds time mike mitchell watched movie click sandler et al moved subsequently tell everyone appreciated think even called mom
82,changing subjects gotta vent real quick ta bullshit yesterday professor ta tried unknowingly math weak sauce assign grading load violated contract hours made excel sheet basic hours accounting prove indeed violated totally qed acting  still negotiate supposed show calculations tas tomorrow make sure agree see matter gonna straight go department head work union get fuck understand contracts fucking academics sometimes man sheeeuuuttt
83,exactly  budging inch told today either violating contract students papers grade get roughly half turns actual fraction cus fuckin math attention peers get
84, photo great
85,large hadron collider gearing next experiments run promotional thing cern series videos experimental physics meets experimental music recently released video deerhoof http youtu tzqqgbsnsta
86,physicist beginning looks mad chill probably vibes skypewave
87,ha
88,whoa werner herzog guest starred new rick morty
89,pretty great episode
90,
91,
92,
93,
94,
95,
96,one favorite scenes newest episode
97, nice
98, congratulations sean
99,
100,ha
101,oo
102,
103,ha man horse tragedy perfect
104,ah make balls damn knew wrong 
105,ha pretty dark humor
106,sheeuuut sweet looking car butze
107, looks  entirety weird went cool though would really want go wedding never favorite less less know people
108,guys see noob uconn tried bring booze union proceeded get verbal finally physical altercation union manager got arrested
109,video http www barstoolsports com barstoolu encore drunk uconn kid trying get jalapeno bacon mac cheese student union
110,breakdown action
111,guy end goes ooooo eeee kind  mr poopy butt hole
112,ha  one first thoughts youtube video views
