,0
0,yeah
1,haha
2,resist
3,using
4,ahh
5,booyah
6,haha
7,paid
8,cents
9,upgrade
10,caption
11,app
12,get
13,white
14,lettering
15,totally
16,worth
17,haha
18,awesome
19,love
20,band
21,name
22,perfectly
23,chosen
24,girly
25,cursive
26,really
27,makes
28,haha
29,hahaha
30,heavy
31,booyah
32,referencing
33,today
34,awesome
35,haha
36,talked
37,mom
38,said
39,get
40,stuff
41,grill
42,dinner
43,ton
44,eggs
45,neighbors
46,guys
47,wanted
48,bring
49,stuff
50,lunch
51,like
52,cold
53,cuts
54,bread
55,etc
56,stuff
57,go
58,eggs
59,breakfast
60,like
61,bagels
62,whatnot
63,would
64,cool
65,also
66,snacks
67,water
68,bottle
69,two
70,hiking
71,could
72,good
73,going
74,bring
75,probably
76,start
77,thawing
78,fridge
79,doable
80,thawed
81,haha
82,probably
83,better
84,start
85,thawing
86,tonight
87,faucet
88,defrost
89,less
90,optimal
91,yeah
92,asked
93,mom
94,would
95,possible
96,said
97,definitely
98,google
99,says
100,ok
101,oh
102,jesus
103,haha
104,sorry
105,oh
106,argh
107,uh
108,sorry
109,felt
110,like
111,germane
112,convo
113,exactly
114,get
115,turkey
116,ok
117,trail
118,guide
119,hiking
120,killington
121,could
122,good
123,http
124,www
125,killington
126,com
127,site
128,mountain
129,trail
130,map
131,hiking
132,trailmap
133,hike
134,web
135,pdf
136,also
137,healdville
138,trail
139,goes
140,okemo
141,http
142,www
143,vtstateparks
144,com
145,pdfs
146,okemo
147,sf
148,trails
149,pdf
150,ones
151,near
152,okemo
153,haha
154,noticed
155,last
156,link
157,hike
158,last
159,time
160,listed
161,aggressive
162,one
163,goes
164,sweet
165,cliffs
166,h
167,round
168,trip
169,half
170,hour
171,drive
172,ludlow
173,haha
174,yeah
175,full
176,disclosure
177,involve
178,vertical
179,ft
180,figure
181,though
182,gets
183,strenuous
184,like
185,rush
186,could
187,take
188,time
189,snacks
190,rests
191,stuff
192,yeah
193,gonna
194,clown
195,trail
196,planning
197,heading
198,early
199,afternoon
200,around
201,storrs
202,thought
203,another
204,thing
205,vt
206,guys
207,could
208,bring
209,sleeping
210,bags
211,pillows
212,would
213,help
214,minimize
215,number
216,sheets
217,wash
218,end
219,weekend
220,sure
221,much
222,two
223,dinners
224,mom
225,already
226,made
227,meatballs
228,sausage
229,peppers
230,picked
231,steak
232,tips
233,likely
234,batch
235,chili
236,said
237,still
238,got
239,mine
240,bring
241,tons
242,stuff
243,worries
244,pretty
245,stocked
246,could
247,always
248,bring
249,beer
250,found
251,taps
252,shut
253,dad
254,away
255,still
256,good
257,amount
258,beer
259,though
260,yeah
261,apparently
262,problems
263,one
264,controllers
265,time
266,get
267,straightened
268,sounds
269,good
270,town
271,farm
272,rd
273,ludlow
274,vt
275,things
276,would
277,wu
278,simulator
279,game
280,summary
281,picture
282,friend
283,mine
284,burning
285,man
286,pose
287,made
288,think
289,human
290,evolution
291,picture
292,love
293,clutching
294,doritos
295,haha
296,watched
297,episode
298,yesterday
299,watched
300,wait
301,new
302,episode
303,tonight
304,also
305,nice
306,use
307,klunge
308,earlier
309,haha
310,totally
311,forgot
312,word
313,much
314,fun
315,caption
316,app
317,article
318,http
319,markmanson
320,net
321,giving
322,fuck
323,hahaha
324,wu
325,good
326,idea
327,caption
328,turned
329,relevant
330,convo
331,haha
332,lab
333,class
334,semester
335,noob
336,city
337,machine
338,shop
339,thank
340,god
341,sensors
342,lab
343,ton
344,horseshit
345,calling
346,series
347,schopenmeower
348,one
349,based
350,simone
351,de
352,beauvoir
353,comic
354,guys
355,posted
356,think
357,good
358,pun
359,name
360,yet
361,think
362,gonna
363,go
364,simmeown
365,de
366,beaupaws
367,second
368,set
369,also
370,got
371,kick
372,motherfucker
373,line
374,super
375,dark
376,humor
377,haha
378,agree
379,overall
380,sentiment
381,wu
382,really
383,blessed
384,realized
385,comic
386,multiple
387,pages
388,check
389,rest
390,seems
391,pretty
392,heavy
393,tho
394,reminds
395,time
396,mike
397,mitchell
398,watched
399,movie
400,click
401,sandler
402,et
403,al
404,moved
405,subsequently
406,tell
407,everyone
408,appreciated
409,think
410,even
411,called
412,mom
413,changing
414,subjects
415,gotta
416,vent
417,real
418,quick
419,ta
420,bullshit
421,yesterday
422,professor
423,ta
424,tried
425,unknowingly
426,math
427,weak
428,sauce
429,assign
430,grading
431,load
432,violated
433,contract
434,hours
435,made
436,excel
437,sheet
438,basic
439,hours
440,accounting
441,prove
442,indeed
443,violated
444,totally
445,qed
446,acting
447,like
448,still
449,negotiate
450,supposed
451,show
452,calculations
453,tas
454,tomorrow
455,make
456,sure
457,agree
458,see
459,matter
460,gonna
461,straight
462,go
463,department
464,head
465,work
466,union
467,get
468,fuck
469,understand
470,contracts
471,fucking
472,academics
473,sometimes
474,man
475,sheeeuuuttt
476,exactly
477,haha
478,budging
479,inch
480,told
481,today
482,either
483,violating
484,contract
485,students
486,papers
487,grade
488,get
489,roughly
490,half
491,turns
492,actual
493,fraction
494,cus
495,fuckin
496,math
497,attention
498,peers
499,get
500,haha
501,photo
502,great
503,large
504,hadron
505,collider
506,gearing
507,next
508,experiments
509,run
510,promotional
511,thing
512,cern
513,series
514,videos
515,experimental
516,physics
517,meets
518,experimental
519,music
520,recently
521,released
522,video
523,deerhoof
524,http
525,youtu
526,tzqqgbsnsta
527,physicist
528,beginning
529,looks
530,mad
531,chill
532,probably
533,vibes
534,skypewave
535,hahaha
536,whoa
537,werner
538,herzog
539,guest
540,starred
541,new
542,rick
543,morty
544,pretty
545,great
546,episode
547,one
548,favorite
549,scenes
550,newest
551,episode
552,haha
553,nice
554,yeah
555,congratulations
556,sean
557,hahaha
558,oo
559,hahaha
560,man
561,horse
562,tragedy
563,perfect
564,ah
565,make
566,balls
567,damn
568,knew
569,wrong
570,haha
571,hahaha
572,pretty
573,dark
574,humor
575,sheeuuut
576,sweet
577,looking
578,car
579,butze
580,haha
581,looks
582,like
583,entirety
584,weird
585,went
586,cool
587,though
588,would
589,really
590,want
591,go
592,wedding
593,never
594,favorite
595,less
596,less
597,know
598,people
599,guys
600,see
601,noob
602,uconn
603,tried
604,bring
605,booze
606,union
607,proceeded
608,get
609,verbal
610,finally
611,physical
612,altercation
613,union
614,manager
615,got
616,arrested
617,video
618,http
619,www
620,barstoolsports
621,com
622,barstoolu
623,encore
624,drunk
625,uconn
626,kid
627,trying
628,get
629,jalapeno
630,bacon
631,mac
632,cheese
633,student
634,union
635,breakdown
636,action
637,guy
638,end
639,goes
640,ooooo
641,eeee
642,kind
643,like
644,mr
645,poopy
646,butt
647,hole
648,hahaha
649,yeah
650,one
651,first
652,thoughts
653,youtube
654,video
655,views
656,haha
657,thanks
658,guys
659,still
660,makes
661,laugh
662,time
663,hahahaha
664,epic
665,yeah
666,weird
667,maybe
668,went
669,aaa
670,let
671,keep
672,hahaha
673,yeah
674,right
675,near
676,putnam
677,behind
678,new
679,one
680,experiment
681,last
682,week
