,0
0, love photo
1,ha
2,amazing
3, pretty much paid
4, existentially tortured unicellular organisms
5,best hashtag
6,ha
7,sure
8,https youtube com watch v ogxonbn
9,gettin three p ed god damn way
10,flip dick
11, remember
12,get fancy italian cold cuts get prosciutto bitch
13,
14,gonna go ape shit
15,awww jim nasty
16, lie back think england
17,well food poisoning times practically expert help us befall
18,us
19,according interwebs one year limit quality taste safety
20,worry vommitting assholes hopefully
21,cloudy j period 
22,ooh  remember 
23,gonna seize hard drive 
24,fappin job
25,
26, nice
27, hours solid
28,ft nothing
29,hikes west ft hrs
30,take photos pimp okc profile
31,ha
32,
33,bringing rob planning drive car
34,
35,oh  meaning watch
36,ok
37,aw nice
38,yes please
39,sweet
40,sounds  gonna achieve kenny powers level awesomeness
41,https youtube com watch v mze fj er
42,recycled mine
43,realize supposed keep
44,sry dude
45,nice
46,better bring snake
47,anyone still gonna stopping store need fresh basil whole foods big deal
48,nvm found
49,noooo
50,left get
51,alex address
52,thanks
53,
54,taking roy grid health insurance
55,nice
56, wow dedication
57,guy going grid
58,nothing
59,nice
60,took notice window last frame really ties together
61,awesome
62,someone posted facebook day take moment appreciate epitome shitty nu metal everything stereotype genre  poor mans linkin park
63,https youtube com watch v lybirhi
64,guitar tone especially horrendous even sure managed achieve sound
65,grow
66,
67,could
68, dude gotta shoot
69,knee deep klunge
70,
71,another brilliant r moment
72,gotta catch
73,itsa goood
74,ha
75,remember article one yall posted back give fuck learning ration fuck giving anyone still link
76,yes
77,thank
78,hell 
79,regret
80,awesome
81,little anecdote think yall appreciate recently found via facebook kid used go prep school went divinity school recently became ordained deacon episcopal church recalled particular conversation th grade mutual interest pornography confided especially enjoyed videos anal porn loves sound girl makes goes  dude serving people communion sundays
82,yup
83, actually might th grade really makes better
84, even bit taken aback time
85,years old
86, limewire
87,back day work porn
88, nice
89,yep
90,glad ta anymore
91, great
92,make tumblr
93,
94,ing imagining standing crosswalk saying motherfucker
95,friendsforever
96,students today niggas life
97, think everyone different best time life unfortunate people high school want one
98,goal peak late possible never keep getting awesome
99,ha amen
100,anyone still long comic last year mickey goofy donald duck feel  second dose needed yesterday musings
101, kind gloomy end really ties together brighter note
102,micky realizes blessed buddies
103,crazy cause thinking friends known whole life guys watched whole way come far new exciting stuff leading crazy lives still got much wish friend   whole journey
104,fuckin gets right feels every time
105,
106, wow
107, gotta read whole thing masterpiece
108, damn dude props fighting back tho
109,gotta stonewall
110,alex cocco gonna choke bitch
111,qed bitch
112,department ever use undergad graders time tufts reduce load grad tas labor cheaper
113,mom bitches  days
114,ha
115,eat 
116,speaking beards date last night bar random guy walks says sorry man real quick starts stroking beard couple seconds walks away minutes later friend comes explains bet guy try touch beard chuckled heartily bought beer lost bet
117,really getting serious roi thing
118, nice pokemon reference
119,http deadspin com cops man commits suicide buffalo bills tailgate
120,guy went full auth
121,  sorry bout
122,waaaaaaaay news goes
123,
124,one friends tufts tried use exact line part write problem homework assignment ta impressed
125,damn really took edge
126,
127,seems  cern making strides stay relevant improve brand big improvement awkward rapping physicists particle fever
128,maybe brought carles marketing consultant
129, first guy totally dressed  hipster version sagan got beige sport coat slim tapered black shirt lieu turtleneck
130, nice
131,timeless classic
132,one ages
133,http www complex com pop culture boston man shares viral video giant sea creature hilarious commentary utm campaign complexmag utm source facebook utm medium social sr share facebook
134,least take dave grid
135, episode
136,oh damn forgot
137,nice
138,classic
139,made amazon interview day even watch jeff bezos jerk
140,http jezebel com fall worst season
141, poo brain
142,already wrapped car search tho pulled trigger yesterday black rav practical understated rugged enough facilitate outdoorsy bro rebranding effort
