,0
0,lol
1,love
2,photo
3,hahaha
4,amazing
5,yeah
6,pretty
7,much
8,paid
9,haha
10,existentially
11,tortured
12,unicellular
13,organisms
14,best
15,hashtag
16,hahaha
17,sure
18,https
19,youtube
20,com
21,watch
22,v
23,ogxonbn
24,gettin
25,three
26,p
27,ed
28,god
29,damn
30,way
31,flip
32,dick
33,haha
34,remember
35,get
36,fancy
37,italian
38,cold
39,cuts
40,get
41,prosciutto
42,bitch
43,haha
44,gonna
45,go
46,ape
47,shit
48,awww
49,jim
50,nasty
51,lol
52,lie
53,back
54,think
55,england
56,well
57,food
58,poisoning
59,times
60,practically
61,expert
62,help
63,us
64,befall
65,us
66,according
67,interwebs
68,one
69,year
70,limit
71,quality
72,taste
73,safety
74,worry
75,vommitting
76,assholes
77,hopefully
78,cloudy
79,j
80,period
81,haha
82,ooh
83,yeah
84,remember
85,haha
86,gonna
87,seize
88,hard
89,drive
90,lol
91,fappin
92,job
93,lol
94,haha
95,nice
96,yeah
97,hours
98,solid
99,ft
100,nothing
101,hikes
102,west
103,ft
104,hrs
105,take
106,photos
107,pimp
108,okc
109,profile
110,hahaha
111,bringing
112,rob
113,planning
114,drive
115,car
116,lol
117,oh
118,yeah
119,meaning
120,watch
121,ok
122,aw
123,nice
124,yes
125,please
126,sweet
127,sounds
128,like
129,gonna
130,achieve
131,kenny
132,powers
133,level
134,awesomeness
135,https
136,youtube
137,com
138,watch
139,v
140,mze
141,fj
142,er
143,recycled
144,mine
145,realize
146,supposed
147,keep
148,sry
149,dude
150,nice
151,better
152,bring
153,snake
154,anyone
155,still
156,gonna
157,stopping
158,store
159,need
160,fresh
161,basil
162,whole
163,foods
164,big
165,deal
166,nvm
167,found
168,noooo
169,left
170,get
171,alex
172,address
173,thanks
174,haha
175,taking
176,roy
177,grid
178,health
179,insurance
180,nice
181,haha
182,wow
183,dedication
184,guy
185,going
186,grid
187,nothing
188,nice
189,took
190,notice
191,window
192,last
193,frame
194,really
195,ties
196,together
197,awesome
198,someone
199,posted
200,facebook
201,day
202,take
203,moment
204,appreciate
205,epitome
206,shitty
207,nu
208,metal
209,everything
210,stereotype
211,genre
212,like
213,poor
214,mans
215,linkin
216,park
217,https
218,youtube
219,com
220,watch
221,v
222,lybirhi
223,guitar
224,tone
225,especially
226,horrendous
227,even
228,sure
229,managed
230,achieve
231,sound
232,grow
233,could
234,yeah
235,dude
236,gotta
237,shoot
238,knee
239,deep
240,klunge
241,another
242,brilliant
243,r
244,moment
245,gotta
246,catch
247,itsa
248,goood
249,hahaha
250,remember
251,article
252,one
253,yall
254,posted
255,back
256,give
257,fuck
258,learning
259,ration
260,fuck
261,giving
262,anyone
263,still
264,link
265,yes
266,thank
267,hell
268,yeah
269,regret
270,awesome
271,little
272,anecdote
273,think
274,yall
275,appreciate
276,recently
277,found
278,via
279,facebook
280,kid
281,used
282,go
283,prep
284,school
285,went
286,divinity
287,school
288,recently
289,became
290,ordained
291,deacon
292,episcopal
293,church
294,recalled
295,particular
296,conversation
297,th
298,grade
299,mutual
300,interest
301,pornography
302,confided
303,especially
304,enjoyed
305,videos
306,anal
307,porn
308,loves
309,sound
310,girl
311,makes
312,goes
313,yeah
314,dude
315,serving
316,people
317,communion
318,sundays
319,yup
320,lol
321,actually
322,might
323,th
324,grade
325,really
326,makes
327,better
328,yeah
329,even
330,bit
331,taken
332,aback
333,time
334,years
335,old
336,yeah
337,limewire
338,back
339,day
340,work
341,porn
342,lol
343,nice
344,yep
345,glad
346,ta
